Noncampuscrime060708[1,2,3].csv
Edinboro University of Pennsylvania,Main Campus,Accounting Office
Edinboro University of Pennsylvania,Edinboro University in Erie - The Porreco Center,2951 W. 38th St.
Edinboro University of Pennsylvania,Edinboro University in Meadville,789 Bessemer Ave
Elizabethtown College,Main Campus,ONE ALPHA DR
Empire Beauty School-State College,MAIN CAMPUS,208 W HAMILTON ST
Empire Beauty School-Lebanon,Main Campus,1776 QUENTIN RD CEDAR CREST SQ
Empire Beauty School-York,Main Campus,2592 EASTERN BLVD
Empire Beauty School-Lancaster,MAIN CAMPUS,1801 COLUMBIA AVE
Empire Beauty School-Williamsport,MAIN CAMPUS,1808 EAST THIRD STREET
Empire Beauty School-Williamsport,ADDITIONAL LOCATION,4768 MCKNIGHT ROAD
Empire Beauty School-Shamokin Dam,MAIN CAMPUS,ORCHARD HILLS PLZ US RTE 11 & 15
Empire Beauty School-Pottsville,Main Campus,324 N CENTRE ST
Empire Beauty  School-Lehigh Valley,LEHIGH VALLEY,1634 MACARTHUR RD
Empire Beauty School-Gwinnett,ADDITIONAL LOCATION,1455 PLEASANT HILL ROAD
Empire Beauty School-Wyoming Valley,Main Campus,3370 Birney Ave
Empire Beauty School-Wyoming Valley,Lisle,2709 Maple Avenue
Empire Beauty School-Warminster,MAIN CAMPUS,435 YORK RD
Empire Beauty School-Harrisburg,Main Campus,3941 JONESTOWN RD
Empire Beauty School-Reading,Main Campus,2302 N 5TH Street Highway
Episcopal School of Nursing,Main Campus,100 E LEHIGH AVE
Erie Business Center,Erie Businss Center - Erie Campus,246 West 9th Street
Erie Institute of Technology Inc,Main Campus,940 Millcreek Mall
Evangelical Theological Seminary,Main Campus,121 S COLLEGE ST
Frankford Hospital School of Nursing,Frankford Hospitals School of Nursing,4918 PENN ST
Franklin and Marshall College,Main Campus,COLLEGE AVE
Gannon University,Main Campus,109 University Square
Geneva College,Main Campus,3200 COLLEGE AVE
Gettysburg College,Main Campus,300 N WASHINGTON ST
Empire Beauty School-Exton,MAIN CAMPUS,454 WEST LINCOLN HIGHWAY
Empire Beauty School-Laurel Springs,MAIN CAMPUS,1305 BLACKWOOD-CLEMENTON RD COMMERCE PLZ 2
Empire Beauty School-Philadelphia Woodhaven Rd,MAIN CAMPUS,4026 Woodhaven Road
Gratz College,Mandell Campus,7605 OLD YORK RD
Gwynedd Mercy College,Main Campus,1325 Sumneytown Pike
Harcum College,Harcum College,750 MONTGOMERY AVE
Harrisburg Area Community College-Harrisburg,Harrisburg Campus,ONE HACC Drive
Haverford College,Main Campus,370 W. LANCASTER AVE
Commonwealth Technical Institute,Main Campus,727 GOUCHER ST
Holy Family University,Northeast Philadelphia,9801 Frankford Ave
Holy Family University,Holy Family University-Newtown Campus,1 Campus Drive
Holy Family University,Holy Familty University-Woodhaven Campus,1311 Bristol Pike
Hussian School of Art,Main Campus,The Bourse Suite 300 111 S. Independence Mall East
Kaplan Career Institute-ICM Campus,Main Campus,10-14 WOOD ST
Immaculata University,Main Campus,1145 KING RD
Indiana University of Pennsylvania-Main Campus,Main Campus,850 MAPLE STREET
Indiana University of Pennsylvania-Main Campus,Punxsutawney Campus,1010 WINSLOW ST
Indiana University of Pennsylvania-Main Campus,Northpointe Campus,167 NORTHPOINTE BOULEVARD
Pennsylvania School of Business,Pennsylvania School Of Business,406 W Hamilton St
Jameson Health System,Main Campus,1211 WILMINGTON AVE
Great Lakes Institute of Technology,Great Lakes Institute of Technology,5100 PEACH ST
Great Lakes Institute of Technology,Great Lakes Institute Satellite Facility,930 Peach Street
Academy of Creative Hair Design,Main Campus,125 N Wilkes Barre Blvd
Johnson College,Main Campus,3427 NORTH MAIN AVENUE
Juniata College,Main Campus,1700 MOORE ST
Keystone College,Main Campus,ONE COLLEGE GREEN
Anthem Institute-Springfield,Anthem Institute - Springfield,400 S. STATE RD
King's College,Main Campus,133 N RIVER ST
Kittanning Beauty School,Kittanning Beauty School,120 MARKET ST
Kutztown University of Pennsylvania,Main Campus,15200 KUTZTOWN RD
La Roche College,Main Campus,9000 BABCOCK BLVD
La Salle University,LA SALLE UNIVERSITY,1900 W OLNEY AVE
La Salle University,Bucks Graduate Center,Silver Lake Road
La Salle University,Montgomery Graduate Center,4000 Chemical Road
Lackawanna College,Main Campus,501 VINE ST
Lackawanna College,Hazelton Center,145 East Broad Street
Lackawanna College,Honesdale Center,The Market Place Building
Lackawanna College,Towanda Center,One Progress Plaza
Lackawanna College,New Milford Center,266 Main Street   or P.O. Box 316
Lafayette College,Main Campus,HIGH ST
Lancaster Bible College,Main Campus,901 EDEN RD
Lancaster Theological Seminary,Main Campus,555 W JAMES ST
Lancaster School of Cosmetology,Main Campus,50 RANCK AVE
Lansdale School of Business,Main Campus,201 CHURCH RD
Lansdale School of Cosmetology Inc,Lansdale School of Cosmetology.Inc,215 W MAIN ST
Lebanon Valley College,Main Campus,101 N COLLEGE AVE
Lehigh Carbon Community College,Main Campus,4525 EDUCATION PARK DR
Lehigh Carbon Community College,Lehigh Carbon Community College Donley Center,718 Hamilton Street
Lehigh Carbon Community College,Lehigh Carbon Community College Morgan Center,234 High Street
Berks Technical Institute,Main Campus,2205 RIDGEWOOD RD
Lehigh University,Main Campus,27 MEMORIAL DR W
Levittown Beauty Academy,Main Campus,8919 NEWFALLS RD
Lincoln Technical Institute,Lincoln Technical Institute,5151 TILGHMAN ST
Lincoln Technical Institute,Main Campus,9191 TORRESDALE AVE
Lincoln University of Pennsylvania,Lincoln University,1570 OLD BALTIMORE PIKE
Lock Haven University,Main Campus,401 N. Fairview Street
St Margaret School of Nursing,Main Campus,221 Seventh Street
Lutheran Theological Seminary at Gettysburg,Main Campus,61 SEMINARY RIDGE
Lutheran Theological Seminary at Philadelphia,Main Campus,7301 GERMANTOWN AVE
Luzerne County Community College,Main Campus,1333 S PROSPECT ST
Lycoming College,Main Campus,700 COLLEGE PL
Erie Business Center-South,South Campus,170 CASCADE GALLERIA
Manor College,Main Campus,700 FOX CHASE RD
Mansfield University of Pennsylvania,Main Campus,Academy Street
Marywood University,Main Campus,2300 ADAMS AVE
Vet Tech Institute,Main Campus,125 SEVENTH ST
Roxborough Memorial Hospital School of Nursing,Main Campus,5800 RIDGE AVE
Mercyhurst College,Main Campus,501 East 38th Street
Mercyhurst College,Mercyhurst North East Campus,16 West Division Street
Mercyhurst College,West Campus,824 Main Street
Messiah College,Main Campus,ONE COLLEGE AVE
Metropolitan Career Center Computer Technology Institute,Metropolitan Career Center Computer Technology Ins,100 South Broad Street
Metropolitan Career Center Computer Technology Institute,Metropolitan Career Center,100 South Broad Street
Millersville University of Pennsylvania,Main Campus,N. GEORGE ST
Misericordia University,Main Campus,301 LAKE ST
Montgomery County Community College-Central Campus,Main Campus,340 DEKALB PIKE
Moore College of Art and Design,Main Campus,20TH AND THE PARKWAY
Moravian College and Moravian Theological Seminary,Main Campus,1200 MAIN ST
Mount Aloysius College,Main Campus,7373 ADMIRAL PEARY HWY
Muhlenberg College,Muhlenberg College,2400 Chew Street
Lehigh Valley College,Main Campus,2809 East Saucon Valley Road
Thompson Institute,Main Campus,3440 MARKET ST
Neumann College,Main Campus,ONE NEUMANN DRIVE
New Castle School of Trades,New Castle School of Trades,4164 US 422
Newport Business Institute,Newport Business Institute,945 GREENSBURG RD
Northampton County Area Community College,Main Campus,3835 GREEN POND RD
Ohio Valley Hospital School of Nursing,Main Campus,25 HECKEL RD
Orleans Technical Institute,Orleans Technical Institute,2770 Red Lion Road
Pennsylvania Academy of Cosmetology Arts and Sciences,Main Campus,2445 BEDFORD ST
Salus University,Elkins Park Academic Campus,8360 OLD YORK RD
Pennsylvania College of Optometry,TEI Oak Lane Clinical Campus,1200 West Godfrey Avenue
Pennsylvania Institute of Technology,Main Campus,800 MANCHESTER AVE
Pennsylvania Institute of Technology,Philadelphia Location,6th and Walnut Street
Pennsylvania State University-Penn State Erie-Behrend College,Behrend College Penn State,5091 STATION RD
Pennsylvania State University-Penn State Great Valley,Great ValleyCampus Penn State,30 E SWEDESFORD RD
Pennsylvania State University-College of Medicine,Hershey Penn State College of Medicine,500 UNIVERSITY DR
Pennsylvania State University-Penn State New Kensington,New Kensington Campus Penn State,3550 7TH STREET ROAD RTE 780
Pennsylvania State University-Penn State Shenango,Shenango Campus Penn State,147 SHENANGO AVE
Pennsylvania State University-Penn State Wilkes-Barre,Wilkes Barre Campus Penn State,OLD RTE 115
Pennsylvania State University-Penn State Worthington Scranton,Worthington Scranton Campus Penn State,120 RIDGE VIEW DR
Pennsylvania State University-Penn State Lehigh Valley,Lehigh Valley Campus Penn State,8380 MOHR LN
Pennsylvania State University-Penn State Altoona,Altoona Campus Penn State,3000 IVYSIDE PK
Pennsylvania State University-Penn State Beaver,Beaver Campus Penn State,100 UNIVERSITY DR
Pennsylvania State University-Penn State Berks,Berks Campus Penn State,TULPEHOCKEN RD
Pennsylvania State University-Penn State Harrisburg,Harrisburg Campus Penn State,777 W HARRISBURG PKE
Pennsylvania State University-Brandywine,Brandywine Campus Penn State,25 YEARSLEY MILL RD
Pennsylvania State University-Penn State Dubois,DuBois Campus Penn State,COLLEGE PLACE
Pennsylvania State University-Penn State Fayette- Eberly Campus,Fayette Campus Penn State,ONE UNIVERSITY DR
Pennsylvania State University-Penn State Hazleton,Hazleton Campus Penn State,HIGHACRES
Pennsylvania State University-Main Campus,University Park Campus,201 OLD MAIN
Pennsylvania State University-Penn State Greater Allegheny,McKeesport Campus Penn State,4000 UNIVERSITY DR
Pennsylvania State University-Penn State Mont Alto,Mont Alto Campus Penn State,CAMPUS DR
Pennsylvania State University-Penn State Abington,Abington Campus,Penn State
Pennsylvania State University-Penn State Schuylkill,Schuylkill Campus Penn State,200 UNIVERSITY DR
Pennsylvania State University-Penn State York,York Campus Penn State,1031 EDGECOMB AVE
Pace Institute,PACE INSTITUTE -MAIN CAMPUS,606 COURT ST
Peirce College,Main Campus,1420 PINE STREET
Penn Commercial Inc,Main Campus,242 Oak Spring Road
Pennco Tech,Main Campus,3815 OTTER ST
Pennsylvania Academy of Cosmetology Arts and Sciences,Branch Campus,19 N BRADY ST
Pennsylvania Academy of the Fine Arts,Main Campus,128 N BROAD ST
Pennsylvania Gunsmith School,Main Campus,812 OHIO RIVER BLVD
Pennsylvania Institute of Taxidermy Inc,Main Campus,118 INDUSTRIAL PK RD
Cortiva Institute-Pennsylvania School of Muscle Therapy,Cortiva Institute-Pennsylvania School of Massage Therapy,211 South Gulph Suite 100
Pennsylvania College of Art and Design,Main Campus,204 N PRINCE ST
University of Pennsylvania,Main Campus,1 COLLEGE HALL 34TH AND SPRUCE STS
Philadelphia University,Main Campus,SCHOOLHOUSE LN AND HENRY AVE
Philadelphia University,Bucks Campuses,School House Lane and Henry Avenue
The University of the Arts,Main Campus,320 S BROAD ST
Philadelphia Biblical University-Langhorne,Main Campus,200 Manor Ave
Philadelphia Biblical University-Langhorne,Advance Program at Timothy Academy,303 West Lehigh Avenue
Philadelphia College of Osteopathic Medicine,PCOM - Main Campus,4170 CITY AVE
Philadelphia College of Osteopathic Medicine,Philadelphia College of Osteopathic Medicine Georgia Campus,625 Old Peachtree Road NW
Philadelphia College of Osteopathic Medicine,Sullivan County Medical Center,Main & King Streets
Philadelphia College of Osteopathic Medicine,Roxborough Healthcare Center,5830 Henry Avenue
Philadelphia College of Osteopathic Medicine,Lancaster Healthcare Center,4148 Lancaster Avenue
Philadelphia College of Osteopathic Medicine,Cambria Healthcare Center,2100 W. Cambria Avenue
University of the Sciences in Philadelphia,University of the Sciences in Philadelphia,600 S 43RD ST
Community College of Philadelphia,Spring Garden Street (Main) Campus,1700 SPRING GARDEN ST
Community College of Philadelphia,Northeast Regional Center,12901 Townsend Road
Community College of Philadelphia,Northwest Regional Center,1300 Godfrey Ave.
Community College of Philadelphia,West Philadelphia Regional Center,4725 Chestnut St.
University of Pittsburgh-Bradford,Bradford Campus,300 CAMPUS DRIVE
University of Pittsburgh-Greensburg,University of Pittsburgh at Greensburg,150 Finoli Drive
University of Pittsburgh-Johnstown,University of Pittsburgh at Johnstown,450 SCHOOLHOUSE RD
University of Pittsburgh-Pittsburgh Campus,Main Campus,4200 FIFTH AVE
University of Pittsburgh-Titusville,Titusville Campus,504 E MAIN ST
Beaver Falls Beauty Academy,Beaver Falls Beauty Academy,720 13TH ST
Pittsburgh Institute of Aeronautics,Main Campus,5 ALLEGHENY COUNTY AIRPORT
Pittsburgh Institute of Mortuary Science Inc,Main Campus,5808 BAUM BLVD
Pittsburgh Technical Institute,Main Campus,1111 McKee Road
Pittsburgh Technical Institute,Regional Learning Center,850 Cranberry Woods
Pittsburgh Theological Seminary,Main Campus,616 N HIGHLAND AVE
PJA School,Main Campus,7900 W CHESTER PKE
Point Park University,Main Campus,201 WOOD ST
Schuylkill Health School of Nursing,Main Campus,420 S. Jackson Street
Pruonto's Hair Design Institute Inc,Main Campus,705 12TH ST
Reading Area Community College,Main Campus,10 S SECOND ST
The Reading Hospital School of Health Sciences,Main Campus,6TH AND SPRUCE ST
Reconstructionist Rabbinical College,Main Campus,1299 CHURCH RD
Reformed Presbyterian Theological Seminary,Main Campus,7418 PENN AVE
The Restaurant School at Walnut Hill College,Main Campus,4207 WALNUT ST
CHI Institute-Broomall,Main Campus,1991 Sproul Road Suite 42
Robert Morris University,Main Campus,6001 University Blvd
Rosedale Technical Institute,Rosedale Technical Institute,215 Beecham Drive
Rosemont College,Main Campus,1400 MONTGOMERY AVE
Saint Francis University,Main Campus,110 Franciscan Way
Saint Francis University,France,Le Prieure
Saint Joseph's University,Main Campus,5600 CITY AVE
Saint Vincent College,Main Campus,300 FRASER PURCHASE RD
Saint Vincent Seminary,Main Campus,300 FRASER PURCHASE RD
International Academy of Design and Technology,Branch Campus,555 GRANT ST
Schuylkill Technology Center,Schuylkill Technology Centers-North Campus,101 Technology Drive
University of Scranton,The University of Scranton,800 LINDEN STREET
Seton Hill University,Main Campus,SETON HILL DR
Heritage Valley Sewickley School of Nursing,Main Campus,720 BLACKBURN RD
University of Pittsburgh Medical Center-Shadyside School of Nursing,Main Campus,5230 CENTRE AVE
Sharon Regional Health System School of Nursing,Main Campus,740 E STATE ST
Laurel Technical Institute,Main Campus,200 Sterling Avenue
Laurel Technical Institute,LAUREL TECHNICAL INSTITUTE - MEADVILLE,628 ARCH ST STE B105
Shippensburg University of Pennsylvania,Main Campus,1871 OLD MAIN DR
Slippery Rock University of Pennsylvania,Main Campus,1 Morrow Way
Saint Charles Borromeo Seminary-Overbrook,Main Campus,100 EAST WYNNEWOOD ROAD
South Hills Beauty Academy Inc,Main Campus,3269 W LIBERTY AVE
South Hills School of Business & Technology,Main Campus,480 WAUPELANI DR
South Hills School of Business & Technology,Lewistown Campus,124 E. Market Street
South Hills School of Business & Technology,Philipsburg Campus,200 Shady Lane
South Hills School of Business & Technology,Altoona Campus,508 58th Street
St Lukes Hospital School of Nursing,Main Campus,801 OSTRUM STREET
Stroudsburg School of Cosmetology,Main Campus,100 NORTH 8TH ST
Susquehanna University,Main Campus,514 UNIVERSITY AVE
Swarthmore College,Main Campus,500 COLLEGE AVE
Thaddeus Stevens College of Technology,Main Campus,750 E KING ST
Thaddeus Stevens College of Technology,Branch Campus,1100 E. Orange St.
Talmudical Yeshiva of Philadelphia,Main Campus,6063 DREXEL RD
Temple University,Main Campus,1801 N. BROAD STREET
Temple University,Ambler Campus,580 MEETINGHOUSE ROAD
