Noncampuscrime060708[1,2,3,4].csv
Gene Juarez Academy of Beauty,Main Campus,10715 8TH AVE NE,SEATTLE
Bates Technical College,Downtown Campus,1101 S Yakima Avenue,Tacoma
Bates Technical College,South Campus,2210 S. 78th Street,Tacoma
Bates Technical College,William P. Mohler Campus,2320 S. 19th Street,Tacoma
Lake Washington Technical College,Kirkland and Redmond Campuses,11605 132ND AVE NE,KIRKLAND
Lake Washington Technical College,Redmond Campus,6505 176th Ave. N.E.,Redmond
Lower Columbia College,Main Campus,1600 Maple,LONGVIEW
Trinity Lutheran College,Main Campus,2802 Wetmore Ave,Everett
Cascade Beauty College,Cascade Beauty College,435 E Main St,Auburn
BJ's Beauty and Barber College,BJ's Beauty & Barber College,5239 S TACOMA WAY,TACOMA
Northwest Hair Academy,Main Campus,615 S FIRST ST,MT VERNON
Northwest Hair Academy,Everett,520 128th Street SW STE A8,Everett
Seattle Community College-North Campus,Main Campus,9600 COLLEGE WAY NORTH,SEATTLE
Seattle Community College-North Campus,Sand Point Annex,6208 60th Avenue NE,Seattle
Northwest University,Northwest University,5520 108th Ave NE,KIRKLAND
Olympic College,Olympic College,1600 CHESTER AVE,BREMERTON
Perry Technical Institute,Perry Technical Institute,2011 W WASHINGTON AVE.,YAKIMA
Pacific Lutheran University,Main Campus,1010 122nd St. S.,TACOMA
Peninsula College,Main Campus,1502 E LAURIDSEN BLVD,PORT ANGELES
Peninsula College,Forks Branch,71 South Forks Ave.,Forks
Peninsula College,Port Townsend Branch,298 Battery Way,Port Townsend
Phagans Orchards Beauty School,Main Campus,10411 NE 4TH PLAIN BLVD STE 109,VANCOUVER
University of Puget Sound,Main Campus,1500 N WARNER,TACOMA
Renton Technical College,Renton Technical College,3000 NE FOURTH ST,RENTON
Saint Martin's University,Main Campus,5300 PACIFIC AVE SE,LACEY
Seattle Community College-South Campus,South Seattle Community College,6000 16TH AVE SW,SEATTLE
Seattle Community College-South Campus,Georgetown Campus,6737 south Corson Ave.,SEATTLE
Seattle Community College-Central Campus,Main Campus,1701 BROADWAY,SEATTLE
Everest College-Seattle,Everest College - Seattle Campus,2111 North Northgate Way,Suite 218
Seattle Midwifery School,Main Campus,4000 NE 41st Street,Building D
Seattle Pacific University,Main Campus,3307 3RD AVE W,SEATTLE
Seattle University,Main Campus,901 12th Avenue,SEATTLE
Shoreline Community College,Shoreline Community College,16101 GREENWOOD AVE N,SEATTLE
Skagit Valley College,Mount Vernon Campus,2405 College Way,Mount Vernon
Skagit Valley College,Whidbey Island Campus,1900 SE Pioneer Way,Oak Harbor
Skagit Valley College,South Whidbey Center,11042 SR 525 #138,Clinton
Skagit Valley College,San Juan Center,221 Weber Way,Friday Harbor
South Puget Sound Community College,Main Campus,2011 Mottman Road SW,Olympia
South Puget Sound Community College,Hawks Prairie Center,1401 Marvin Road NE,Suite 200
Spokane Community College,Main Campus,1810 NORTH GREENE STREET,Spokane
Spokane Falls Community College,Main Campus,3410 W FORT GEORGE WRIGHT DRIVE,SPOKANE
Spokane Falls Community College,IEL Colville,985 S. Elm St,
Spokane Falls Community College,Inchelium Center,14 Community Center Loop,Inchelium
Spokane Falls Community College,Newport Center,1205 West 5th St.,Newport
Spokane Falls Community College,Whitman County Center,115 NW State St. suite 305A,PULLMAN
Spokane Falls Community College,Republic Center,970 S. Clark,Republic
Spokane Falls Community College,North Pend Oreille Center,208 Blackwell Suite 2,Ione
Stylemaster College of Hair Design,Main Campus,1224 COMMERCE,LONGVIEW
Tacoma Community College,Tacoma Community College,6501 S 19TH ST,TACOMA
Walla Walla Community College,Walla Walla Campus,500 TAUSICK WAY,WALLA WALLA
Walla Walla Community College,Clarkston Center,1470 Bridge Street,Clarkston
Walla Walla University,Main Campus,204 S COLLEGE AVE,COLLEGE PLACE
Washington State University,Main Campus,French Administration Building,PULLMAN
Washington State University,Vancouver Campus,14204 NE SALMON CREEK AVE,VANCOUVER
Washington State University,Spokane Campus,668 N. Riverpoint Blvd.,SPOKANE
Washington State University,Tri Cities,2710 UNIVERSITY DR,RICHLAND
University of Washington-Seattle Campus,Main Campus,NONE,SEATTLE
Wenatchee Valley College,Main Campus,1300 FIFTH ST,WENATCHEE
Everest College-Vancouver,Main Campus,120 NE 136TH AVE STE 130,VANCOUVER
Western Washington University,Main Campus,516 High St,Bellingham
Whatcom Community College,Main Campus,237 W KELLOGG RD,BELLINGHAM
Whitman College,Whitman College,345 BOYER AVE,WALLA WALLA
Whitworth University,Main Campus,300 W HAWTHORNE RD,SPOKANE
Yakima Valley Community College,Main Campus,Sixteenth Ave. and Nob Hill Boulevard,YAKIMA
Alderson Broaddus College,Main Campus,101College Hill Drive,PHILIPPI
Appalachian Beauty School,Main Campus,609A Central Avenue,SOUTH WILLIAMSON
Appalachian Bible College,APPALACHIAN  BIBLE COLLEGE,5701 Robert C. Byrd Drive,BRADLEY
B M Spurr School of Practical Nursing,Main Campus,800 WHEELING AVE,GLEN DALE
Mountain State University,Main Campus,609 S KANAWHA ST,BECKLEY
Mountain State University,Martinsburg Campus,University Center-214 Viking Way,Martinsburg
Mountain State University,Orlando Campus,101 S Wymore Rd-Ste 108,Altamonte Springs
Mountain State University,Center Township Campus,3468 Brodhead Rd - Ste A,Monaca
Ben Franklin Career Center,Main Campus,500 28TH ST,DUNBAR
Bethany College,Main Campus,1 Main Street,BETHANY
Bluefield State College,Main Campus,219 ROCK ST,BLUEFIELD
Cabell County Career Technology Center,Cabell County Career Technology Center,1035 Norway Avenue,Huntington
Charleston School of Beauty Culture,Main Campus,210 CAPITOL ST,CHARLESTON
University of Charleston,Main Campus,2300 MACCORKLE AVE SE,CHARLESTON
Clarksburg Beauty Academy,Main Campus,120 S 3RD ST,CLARKSBURG
Concord University,Main Campus,VERMILLION STREET,ATHENS
Davis & Elkins College,Main Campus,100 CAMPUS DR,ELKINS
Fairmont State University,Fairmont State University,1201 Locust  Ave,Fairmont
Glenville State College,Main Campus,200 HIGH ST,GLENVILLE
HRDE-Stanley Technical Institute-Clarksburg,Main Campus,120 S LINDEN AVE,CLARKSBURG
Huntington Junior College,Main Campus,900 FIFTH AVE,HUNTINGTON
James Rumsey Technical Institute,Main Campus,3274  HEDGESVILLE ROAD,MARTINSBURG
Ralph R Willis Career and Technical Center,Main Campus,PO Box 1747,LOGAN
Marshall University,Marshall University,1 John Marshall Drive,HUNTINGTON
Mercer County Technical Education Center,Mercer County Technical Education Center,1397 Stafford Dr,Princeton
Meredith Manor International Equestrian Center,Main Campus,147 Saddle Lane,WAVERLY
Monongalia County Technical Education Center,Monongalia County Technical Education Center,1000 MISSISSIPPI ST,MORGANTOWN
Morgantown Beauty College Inc,Main Campus,276 WALNUT ST,Morgantown
Mountain State College,Mountain State College,1508 SPRING STREET,PARKERSBURG
Everest Institute-Cross Lanes,Everest Institute,5514 BIG TYLER RD,CROSS LANES
Opportunities Industrialization Center-North Central West Virginia,North Central (WV) OIC,120 JACKSON ST,FAIRMONT
Ohio Valley University,Main Campus,1 CAMPUS VIEW DRIVE,VIENNA
West Virginia University at Parkersburg,West Virginia University Parkersburg,300 CAMPUS DR,PARKERSBURG
Potomac State College of West Virginia University,Potomac State College of WVU,FORT AVE,KEYSER
Academy of Careers and Technology,Main Campus,390 STANAFORD RD,BECKLEY
Salem International University,Main Campus,223 W MAIN ST,SALEM
Shepherd University,Main Campus,PO Box 5000,Shepherdstown
Southern West Virginia Community and Technical College,Main Campus,2900 DEMPSEY BRANCH ROAD,MT GAY
Fred W Eberle Technical Center,Main Campus,RTE 5 BOX 2,BUCKHANNON
West Virginia School of Osteopathic Medicine,Main Campus,400 N LEE ST,LEWISBURG
West Virginia State University,Main Campus,5000 Fairlawn Ave.,INSTITUTE
West Virginia University Hospital Departments of Rad Tech and Nutrition,Main Campus,MEDICAL CTR DR,MORGANTOWN
West Liberty State College,Main Campus,Route 88,PO Box 295
West Virginia University Institute of Technology,Main Campus,405 FAYETTE PKE,MONTGOMERY
West Virginia Wesleyan College,Main Campus,59 College Avenue,Buckhannon
West Virginia Business College-Wheeling,Main Campus,1052 Main Street,Wheeling
West Virginia Business College-Wheeling,Nutter Fort Campus,116 Pennsylvania Avenue,Nutter Fort
West Virginia Junior College,West Virignia Junior College,1000 Virginia St. East,Charleston
West Virginia Junior College,Main Campus,148 WILLEY ST,MORGANTOWN
International Beauty School 4,Main Campus,201 W. KING STREET,MARTINSBURG
West Virginia Northern Community College,Main Campus,1704 Market Street,Wheeling
West Virginia Northern Community College,Weirton Campus,150 Park Avenue,Weirton
West Virginia Northern Community College,New Martinsville,141 Main Street,New Martinsville
West Virginia University,Main Campus,P.O. Box 6561 Public Safety,MORGANTOWN
Wheeling Jesuit University,Main Campus,316 WASHINGTON AVE,WHEELING
Wood County School of Practical Nursing,West Virginia University of Parkersburg,300 Campus Drive,Parkersburg
Advanced Institute of Hair Design,Main Campus,5780 N. Port Washington Rd.,Glendale
Advanced Institute of Hair Design,Main Campus,4111 S. 108th Street,Greenfield
Alverno College,Alverno College,3400 S 43RD  ST,Milwaukee
Madison Area Technical College,Main Campus,3550 ANDERSON ST,MADISON
Madison Area Technical College,Fort Atkinson Regional,3550 ANDERSON STREET,MADISON
Madison Area Technical College,Watertown Regional Campus,3550 ANDERSON STREET,MADISON
Madison Area Technical College,Portage Regional Campus,3550 ANDERSON STREET,MADISON
Madison Area Technical College,Reedsburg Regional Campus,3550 ANDERSON STREET,MADISON
Madison Area Technical College,Downtown Educational Center,3550 ANDERSON STREET,MADISON
Madison Area Technical College,Commercial Avenue Center,3550 ANDERSON STREET,MADISON
Bellin Health School of Radiologic Technology,Main Campus,744 S WEBSTER AVE,GREEN BAY
Bellin College of Nursing,Bellin College,3201 Eaton Road,GREEN BAY
Beloit College,Beloit College,700 COLLEGE ST,BELOIT
Blackhawk Technical College,Main Campus,P.O. Box 5009,JANESVILLE
Lakeside School of Massage Therapy,LAKESIDE SCHOOL OF MASSAGE THERAPY - MADISON,6121 ODANA ROAD,MADISON
Lakeside School of Massage Therapy,LAKESIDE SCHOOL OF MASSAGE THERAPY - MILWAUKEE,1726 N 1ST STREET,MILWAUKEE
Cardinal Stritch University,Main Campus,6801 N YATES RD,MILWAUKEE
Carroll University,Main Campus,100 N EAST AVE,WAUKESHA
Carthage College,Main Campus,2001 ALFORD PARK DR,KENOSHA
Concordia University-Wisconsin,Main Campus,12800 N LAKE SHORE DR,MEQUON
Concordia University-Wisconsin,Concordia University Wisconsin-Fort Wayne,6600 N. Clinton St,Ft Wayne
Concordia University-Wisconsin,Concordia University Wisconsin-Green Bay/ Appleton,1150 Sprinhurst Dr Suite 101,Green Bay
Concordia University-Wisconsin,Concordia University Wisconsin-Indianapolis,11350 N. Meridian Street Suite 200,Caramel
Concordia University-Wisconsin,Concordia University Wisconsin-Kenosha,7500 Green Bay Rd,Kenosha
Concordia University-Wisconsin,Concordia University Wisconsin-Madison,2909 Landmark Place Suite 101,Madison
Concordia University-Wisconsin,Concordia University Wisconsin-New Orleans,3229  36th Street Suite 210,Metairie
Concordia University-Wisconsin,Cocnordia University Wisconsin-St. Louis,10825 Watson Rd,St Louis
Concordia University-Wisconsin,Concordia University Wisconsin-Milw Midtown Center,4135 N. 56th Street,Milwaukee
Concordia University-Wisconsin,Concordia University-Wisconsin,Milwaukee South,1127 South 35th
Concordia University-Wisconsin,Concordia University Wisconsin - Beloit,2040 Sutler Avenue,Beloit
Concordia University-Wisconsin,Concordia University Wisconsin-Wausau,501 Stewart Ave,Wausau
Concordia University-Wisconsin,Concorida University Wisconsin-Appleton,3232 N. Ballard Rd Suite 201,Appleton
Concordia University-Wisconsin,Concordia University - Eau Claire,501 Filmore Ave,Eau Claire
Edgewood College,Edgewood College,1000 EDGEWOOD COLLEGE DRIVE,MADISON
Fox Valley Technical College,Fox Valley Technical College,1825 N BLUEMOUND DR,APPLETON
Gateway Technical College,Kenosha Campus,3520 30TH AVE,KENOSHA
Gateway Technical College,Racine,1001 S MAIN ST,RACINE
Gateway Technical College,Elkhorn,400 COUNTY ROAD H,ELKHORN
Gill-Tech Academy,Main Campus,230 S. McCarthy Road,APPLETON
Professional Hair Design Academy,Main Campus,3408 MALL DRIVE,EAU CLAIRE
ITT Technical Institute-Greenfield,Main Campus,6300 W LAYTON AVE,GREENFIELD
DeVry University-Wisconsin,Milwaukee Center,411 E. Wisconsin Ave.,Suite 300
DeVry University-Wisconsin,Waukesha Center,N 14 W 23833 Stone Ridge Drive,Suite 450
Lakeland College,Main Campus,W3718 South Drive,CTH M
Lakeshore Technical College,Main Campus,1290 NORTH AVE,CLEVELAND
Lakeshore Technical College,Manitowoc Campus,3733 Dewey Street,Manitowoc
Lakeshore Technical College,Sheboygan Campus,3620 Wilgus Avenue,Sheboygan
Lawrence University,Main Campus,711 E. Boldt Way,APPLETON
Maranatha Baptist Bible College Inc,Main Campus,745 W MAIN ST,WATERTOWN
Marian University-Wisconsin,Main Campus,45 S NATIONAL AVE,FOND DU LAC
Marquette University,Main Campus,PO BOX 1881,615 N 11TH ST
Empire Beauty School-Madison,MARTINS COLLEGE OF COSMETOLOGY,6414 ODANA ROAD,MADISON
Medical College of Wisconsin,Main Campus,8701 WATERTOWN PLANK RD,MILWAUKEE
Affinity Health System Program in Radiologic Technology,Main Campus,500 S. Oakwood Road,OSHKOSH
Mid-State Technical College,Main Campus,500 32nd Street N,Wisconsin Rapids
Mid-State Technical College,Adams Center,401 North Main Street,Adams
Mid-State Technical College,Marshfield Campus,2600 W. 5th Street,Marshfield
Mid-State Technical College,Stevens Point Campus,933 Michigan Ave,Stevens Point
Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,MILWAUKEE
Milwaukee Area Technical College,Oak Creek Campus,6665 SOUTH HOWELL AVENUE,OAK CREEK
Milwaukee Area Technical College,West Allis Campus,1200 SOUTH 71ST STREET,WEST ALLIS
Milwaukee Area Technical College,Mequon Campus,5555 WEST HIGHLAND ROAD,MEQUON
Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,MILWAUKEE
Milwaukee School of Engineering,Main Campus,1025 N BROADWAY,MILWAUKEE
Moraine Park Technical College,Moraine Park Technical College,235 N NATIONAL AVE,FOND DU LAC
Mount Mary College,Main Campus,2900 N. MENOMONEE RIVER PKY,MILWAUKEE
Nashotah House,Main Campus,2777 MISSION RD,NASHOTAH
Nicolet Area Technical College,Lake Julia - Main Campus,HWY G SOUTH,RHINELANDER
Northcentral Technical College,Northcentral Technical College,1000 CAMPUS DR,WAUSAU
Northeast Wisconsin Technical College,Main Campus,2740 W MASON ST,GREEN BAY
Northland Baptist Bible College,Main Campus,W10085 PIKE PLAINS RD,DUNBAR
Northland College,Main Campus,1411 ELLIS AVE,ASHLAND
Ripon College,Main Campus,300 SEWARD ST,RIPON
Sacred Heart School of Theology,Main Campus,7335 S HWY 100,Franklin
Saint Norbert College,Main Campus,100 GRANT ST,DE PERE
Silver Lake College,Main Campus,2406 South Alverno Rd,Manitowoc
State College of Beauty Culture Inc,Main Campus,1930 Grand Avenue,WAUSAU
Southwest Wisconsin Technical College,Main Campus,1800 BRONSON BLVD,FENNIMORE
Bryant and Stratton College-Milwaukee,Main Campus,310 W. WISCONSIN AVENUE SUITE 500,MILWAUKEE
Bryant and Stratton College-Milwaukee,Milwaukee West,10950 W. Potter Road,Wauwatosa
University of Wisconsin Colleges,University of Wisconsin Colleges,780 REGENT ST,Suite 130
University of Wisconsin Colleges,University of Wisconsin-Baraboo/Sauk County,1006 Connie Road,Baraboo
University of Wisconsin Colleges,University of Wisconsin-Barron County,1800 College Drive,Rice Lake
University of Wisconsin Colleges,University of Wisconsin-Fond du Lac,400 University Drive,Fond du Lac
University of Wisconsin Colleges,University of Wisconsin-Fox Valley,1478 Midway Road,Menasha
University of Wisconsin Colleges,University of Wisconsin-Manitowoc,705 Viebahn Street,Manitowoc
University of Wisconsin Colleges,University of Wisconsin-Marathon County,518 South Seventh Avenue,Wausau
University of Wisconsin Colleges,University of Wisconsin-Marinette,750 West Bay Shore,Marinette
University of Wisconsin Colleges,University of Wisconsin-Marshfield/Wood County,2000 West Fifth Street,Marshfield
University of Wisconsin Colleges,University of Wisconsin-Richland,1200 Highway 14 West,Richland Center
University of Wisconsin Colleges,University of Wisconsin-Rock County,2909 Kellogg Avenue,Janesville
University of Wisconsin Colleges,University of Wisconsin-Sheboygan,One University Drive,Sheboygan
University of Wisconsin Colleges,University of Wisconsin-Washington County,400 University Drive,West Bend
University of Wisconsin Colleges,University of Wisconsin-Waukesha,1500 N. University Drive,Waukesha
